Nombre,Dirección,Latitud,Longitud,Teléfono,Horario,Página Web,Rating,Reseñas,Precio,Popularidad
Blanqueria del Sur,"Héroes de Malvinas 14, Río Grande, Tierra del Fuego, Argentina",-53.8114127,-67.66489969999999,,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://www.facebook.com/BlanqueriaDelSurr,4.8,"['Very good service, very affordable prices, I liked it', '👍', '', '']",,4.0
Signo Sur letreros,"Juan Jose Paso 1285, V9420 Río Grande, Tierra del Fuego, Argentina",-53.80577979999999,-67.7470444,02964 48-9188,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,4.4,"['Very good attention and service.', 'Great welcome, the quality is there and above all the speed. Arrived at 2:00 p.m. stickers ready for 4:30 p.m. (200 stickers). I highly recommend.', 'Well attended and advised!!', 'Excellent attention and distinguished service.', 'Very good service and excellent work']",,48.0
Blanqueria del Sur,"Héroes de Malvinas 14, Río Grande, Tierra del Fuego, Argentina",-53.8114127,-67.66489969999999,,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",https://www.facebook.com/BlanqueriaDelSurr,4.8,"['Very good service, very affordable prices, I liked it', '👍', '', '']",,4.0
Tienda del hogar,"Simón Bolívar 3475, V9420 Río Grande, Tierra del Fuego, Argentina",-53.802983,-67.7506575,02964 61-2071,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20094:00\u202fPM']",,,[],,
Tapiceria Ariana,"Pje. Sta. Maria 860, V9420 Río Grande, Tierra del Fuego, Argentina",-53.8159052,-67.669676,02964 55-3516,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",https://m.facebook.com/tapiceria.ariana.9,5.0,"['Very good service. Thank you very much Ariana upholstery', 'Thanks to upholstery Ariana highly recommended.', 'Excellent work!!! highly recommended', 'recommendable']",,4.0
Alfonsina Multirrubro,"Tierra del Fuego Province, Argentina",-53.8159945,-67.676683,,,,3.6,"['Mud prices, good hygiene and safety.', 'Excellent attention', 'Excellent attention', 'D3 thousand', 'Excellent attention']",,29.0
Multirubro Los Castores,"Rio Grande, Tierra del Fuego Province, Argentina",-53.80595839999999,-67.67212789999999,,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']",,3.8,"['Great variety and assortment. Ideal for searching for last minute gifts', ""It's no longer the beavers, now it's the old corner and it has the same things, the only thing missing is having more time open on weekends."", 'Always good with good vibes.', 'It has many varieties and several offers, it hurts the horrible smell of incense 😔', 'Everyone who works there is very friendly!']",,30.0
andrea boutique,"Tolhuin & Shelk'nam,Río Grande,Tierra del Fuego Tolhuin, Río Grande, Tierra del Fuego, Argentina",-53.80513759999999,-67.6644668,,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",https://www.facebook.com/Andrea-Boutique-448668981909199/,4.6,"['Super attention and very good prices!', 'Very good service, very friendly', 'Excellent atention', 'Excellent service and prices.', 'Very good service assortment']",,38.0
Signo Sur letreros,"Juan Jose Paso 1285, V9420 Río Grande, Tierra del Fuego, Argentina",-53.80577979999999,-67.7470444,02964 48-9188,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,4.4,"['Very good attention and service.', 'Great welcome, the quality is there and above all the speed. Arrived at 2:00 p.m. stickers ready for 4:30 p.m. (200 stickers). I highly recommend.', 'Well attended and advised!!', 'Excellent attention and distinguished service.', 'Very good service and excellent work']",,48.0
Enter,"Tolhuin 294, V9420 Río Grande, Tierra del Fuego, Argentina",-53.8044064,-67.6692406,02964 15-53-9416,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",,5.0,"['The truth is that I went and found what I needed. I recommend it. Good service and prices.', 'The products are very good. I loved the place.', 'It has a lot of variety! Excellent prices and service', 'Very good place and excellent service. Highly recommended', 'Good service and variety of products']",,10.0
